application_id,age,education,employment_type,marital_status,dependents,monthly_income,loan_amount,loan_term,interest_rate,loan_purpose,credit_score,credit_history_length,existing_loans,existing_debt,credit_inquiries,payment_history_pct,late_payments,bankruptcy_history,home_ownership,employment_length,default,application_date
APP000012,20,Master,Full-Time,Single,3,50000.0,175211.91,36,5.0,Personal,686,11.8,3,196006.04,1,73.79,0,0,Rent,9.9,0,2023-08-11
APP000013,19,High School,Full-Time,Single,2,50000.0,500000.0,24,15.05,Personal,823,8.4,1,195161.32,6,84.77,1,0,Mortgage,9.6,1,2020-03-22
APP000014,48,Master,Full-Time,Single,2,16038.63,178846.8,36,5.26,Personal,606,1.3,1,58539.99,2,73.42,3,0,Mortgage,0.9,0,2023-09-24
APP000015,18,High School,Full-Time,Married,0,50000.0,223714.15,36,17.31,Personal,544,2.3,0,0.0,1,94.66,2,0,Mortgage,2.8,0,2020-12-28
APP000016,30,Bachelor,Full-Time,Single,3,50000.0,432375.11,12,24.86,Medical,683,5.5,1,138295.6,2,92.49,0,0,Own,4.6,1,2021-08-12
APP000017,27,High School,Full-Time,Single,0,29698.01,361133.94,48,12.89,Home,850,8.6,0,0.0,0,81.96,0,0,Own,4.1,0,2020-03-12
APP000018,61,High School,Full-Time,Divorced,1,14454.33,144801.35,24,20.95,Auto,711,5.4,0,0.0,2,58.13,0,0,Own,1.7,0,2020-11-19
APP000019,45,Master,Part-Time,Married,1,50000.0,500000.0,72,21.9,Personal,712,2.2,2,179301.77,3,68.24,2,0,Mortgage,4.9,0,2022-06-19
APP000020,41,Master,Full-Time,Single,2,23225.98,311768.48,12,6.43,Home,663,1.3,3,85649.14,4,56.37,0,0,Own,11.9,0,2021-01-05
APP000021,46,Bachelor,Full-Time,Divorced,5,50000.0,366580.06,48,17.54,Business,567,8.7,2,141128.0,3,85.92,0,0,Mortgage,6.5,0,2020-09-08
APP000022,19,Vocational,Full-Time,Single,3,42246.71,145995.14,60,21.27,Debt Consolidation,778,3.0,3,118937.81,0,83.9,0,0,Own,1.3,0,2023-10-30
APP000023,26,Master,Self-Employed,Widowed,2,38051.06,496534.4,60,13.16,Medical,621,2.8,0,0.0,2,71.87,0,0,Own,13.7,0,2020-07-14
APP000024,32,PhD,Full-Time,Single,1,50000.0,301846.35,36,21.56,Home,773,2.8,4,64389.28,2,60.32,0,0,Own,1.0,0,2022-10-02
APP000025,50,Bachelor,Self-Employed,Married,0,26488.33,388157.84,48,19.88,Business,657,5.6,4,96498.91,3,77.58,2,0,Rent,1.1,0,2021-09-23
APP000026,46,Bachelor,Part-Time,Married,3,45576.46,392125.19,60,5.45,Education,664,4.8,0,0.0,1,92.11,1,0,Mortgage,2.4,0,2021-05-15
APP000027,40,Master,Full-Time,Single,3,50000.0,500000.0,12,19.47,Personal,696,2.6,5,229114.54,4,69.9,1,0,Rent,7.8,0,2022-03-31
APP000028,46,Bachelor,Unemployed,Divorced,2,50000.0,213262.87,36,18.13,Debt Consolidation,687,2.5,0,0.0,1,58.26,2,0,Rent,3.2,0,2023-04-26
APP000029,30,Master,Retired,Divorced,5,21436.36,227138.81,24,9.09,Business,737,4.6,3,16536.18,2,88.97,1,0,Other,7.5,0,2020-01-27
APP000030,38,Master,Self-Employed,Divorced,0,50000.0,309678.1,36,23.42,Business,658,3.4,2,60447.31,2,79.2,0,0,Mortgage,5.9,0,2022-03-25
APP000031,43,Bachelor,Full-Time,Divorced,4,50000.0,290943.38,36,22.93,Business,683,2.8,3,51142.24,4,60.04,1,0,Rent,1.7,0,2023-08-24
APP000032,27,Bachelor,Retired,Married,3,20523.3,106713.15,24,11.53,Home,718,11.4,1,10872.1,0,84.46,1,0,Mortgage,5.3,0,2022-12-14
APP000033,51,Vocational,Part-Time,Single,1,13525.61,69683.11,24,23.99,Business,763,12.4,3,36810.13,1,81.7,2,0,Rent,6.3,0,2023-12-14
APP000034,30,Bachelor,Full-Time,Married,4,50000.0,458618.36,36,7.37,Home,815,6.6,1,125716.63,1,74.29,2,0,Rent,1.5,0,2020-11-24
APP000035,27,Bachelor,Full-Time,Married,2,34788.74,273122.73,36,15.09,Home,792,3.2,3,118144.87,1,89.1,2,0,Mortgage,16.4,1,2020-11-08
APP000036,47,Master,Retired,Married,0,8705.63,36402.49,60,16.16,Debt Consolidation,560,11.9,0,0.0,3,81.65,0,0,Mortgage,2.7,0,2022-01-29
APP000037,37,Bachelor,Full-Time,Married,1,50000.0,235995.22,72,13.68,Medical,735,1.7,2,158517.73,3,78.84,4,0,Mortgage,7.9,0,2022-11-29
APP000038,30,Master,Self-Employed,Married,2,50000.0,271285.75,24,6.79,Medical,732,6.9,0,0.0,1,95.07,0,0,Own,8.9,0,2020-01-14
APP000039,18,Master,Full-Time,Married,1,35437.09,282352.75,60,8.73,Education,542,3.9,3,95697.11,1,78.67,1,0,Own,4.3,0,2023-12-07
APP000040,50,Bachelor,Full-Time,Divorced,4,23537.81,311083.01,48,21.36,Home,722,5.4,2,82625.95,1,94.28,1,0,Rent,16.7,0,2022-06-28
APP000041,38,PhD,Part-Time,Married,2,49295.04,500000.0,12,19.15,Home,549,14.0,1,173470.78,0,87.67,2,0,Own,3.3,0,2021-04-22
APP000042,24,PhD,Full-Time,Single,0,36616.92,467657.34,48,12.11,Personal,807,9.4,2,90508.32,0,81.23,4,0,Rent,2.2,0,2023-08-25
APP000043,48,Master,Self-Employed,Married,0,50000.0,500000.0,12,7.56,Personal,720,4.1,2,160088.92,0,92.38,1,0,Rent,2.9,0,2023-10-01
APP000044,31,Bachelor,Retired,Single,0,47742.18,500000.0,48,14.58,Education,674,6.9,2,42574.61,2,68.85,3,0,Other,4.2,0,2023-10-11
APP000045,61,Bachelor,Full-Time,Married,3,50000.0,357736.93,12,7.1,Auto,683,3.2,0,0.0,0,88.5,1,0,Own,5.4,0,2022-03-07
APP000046,33,High School,Full-Time,Divorced,2,48744.76,500000.0,24,11.39,Debt Consolidation,718,6.7,4,117496.32,1,96.13,1,0,Mortgage,3.8,0,2020-03-24
APP000047,34,High School,Full-Time,Married,0,23458.72,339006.48,48,14.17,Personal,649,7.3,0,0.0,4,72.58,0,0,Own,3.6,0,2022-01-03
APP000048,55,Master,Part-Time,Married,1,50000.0,275051.3,36,6.6,Debt Consolidation,620,3.8,0,0.0,4,62.98,1,0,Rent,2.1,0,2020-11-23
APP000049,37,High School,Part-Time,Single,1,15580.19,93522.37,48,6.41,Personal,740,3.2,0,0.0,4,64.07,4,0,Rent,4.5,0,2022-06-10
APP000050,20,High School,Part-Time,Married,0,16208.04,129787.37,24,5.29,Medical,697,3.6,1,22522.82,1,92.57,0,0,Mortgage,5.3,0,2023-02-22
APP000051,42,Master,Full-Time,Single,3,50000.0,325844.75,36,13.15,Medical,805,4.0,0,0.0,7,95.39,2,0,Own,5.4,0,2020-01-06
APP000052,51,Bachelor,Full-Time,Married,2,43996.78,500000.0,48,16.77,Debt Consolidation,660,3.0,1,67621.72,0,88.11,0,0,Own,3.8,0,2023-05-04
APP000053,30,Master,Self-Employed,Married,2,50000.0,438959.58,60,14.03,Auto,621,1.6,1,36533.52,2,91.35,1,0,Own,1.9,0,2022-06-24
APP000054,38,Vocational,Full-Time,Single,2,29515.14,230633.56,36,23.24,Home,768,4.9,0,0.0,4,84.96,1,0,Own,2.8,0,2021-12-16
APP000055,23,High School,Full-Time,Married,0,50000.0,157348.53,36,7.19,Debt Consolidation,773,4.2,4,200743.43,0,81.22,4,0,Mortgage,5.1,0,2021-04-27
APP000056,33,Bachelor,Full-Time,Widowed,0,33629.23,423477.49,24,19.9,Personal,604,4.0,0,0.0,4,83.6,1,0,Mortgage,4.5,0,2020-02-23
APP000057,32,Vocational,Part-Time,Single,1,50000.0,500000.0,12,16.39,Home,500,5.2,2,217392.82,1,80.78,5,0,Rent,7.2,0,2020-10-06
APP000058,27,Bachelor,Full-Time,Single,0,50000.0,500000.0,36,16.21,Home,599,9.9,0,0.0,0,96.52,1,0,Mortgage,5.2,0,2023-05-24
APP000059,45,High School,Retired,Married,2,15926.16,205643.63,48,9.55,Home,704,3.1,0,0.0,5,87.17,1,0,Rent,14.7,0,2020-01-03
APP000060,53,Bachelor,Self-Employed,Single,4,29913.8,122069.54,24,12.54,Auto,617,5.8,1,72862.88,3,85.77,1,0,Mortgage,2.0,0,2020-12-02
APP000061,33,Vocational,Full-Time,Married,2,41865.14,500000.0,36,11.65,Personal,635,5.8,1,32378.58,7,73.94,1,0,Own,6.4,0,2023-05-30
APP000062,34,Bachelor,Unemployed,Divorced,3,13495.23,146023.64,24,22.92,Debt Consolidation,606,8.9,3,56391.35,4,87.58,2,0,Mortgage,5.7,0,2021-05-06
APP000063,44,Master,Full-Time,Married,3,31924.12,267292.81,48,22.49,Education,680,8.3,4,135505.37,3,96.45,2,0,Rent,9.1,0,2023-10-09
APP000064,37,Bachelor,Full-Time,Single,1,50000.0,500000.0,48,10.65,Auto,629,4.2,0,0.0,2,73.25,2,0,Mortgage,3.6,0,2022-06-18
APP000065,20,Vocational,Full-Time,Married,3,50000.0,356635.9,60,16.21,Auto,671,19.0,0,0.0,2,68.42,1,0,Mortgage,2.8,0,2020-06-08
APP000066,40,Bachelor,Part-Time,Married,2,45455.69,339451.35,36,12.31,Auto,771,3.0,1,70519.13,2,83.07,1,0,Own,3.6,0,2022-03-22
APP000067,47,Bachelor,Retired,Married,1,30790.01,164122.16,48,20.51,Business,694,1.6,0,0.0,1,81.81,0,0,Mortgage,10.9,0,2020-02-20
APP000068,32,Bachelor,Self-Employed,Single,3,50000.0,287270.55,24,12.59,Home,559,4.5,4,179340.59,2,88.83,1,0,Own,0.4,0,2021-06-13
APP000069,36,High School,Full-Time,Single,3,50000.0,179358.0,12,23.04,Business,720,6.0,0,0.0,3,80.13,3,0,Rent,2.3,0,2023-03-23
APP000070,26,Master,Self-Employed,Single,2,11947.42,46758.92,48,16.64,Debt Consolidation,686,6.0,1,54391.56,1,96.86,2,0,Rent,2.7,1,2022-10-18
APP000071,48,PhD,Part-Time,Divorced,1,11596.46,131179.12,36,24.52,Business,621,2.2,1,36075.59,0,72.23,2,0,Rent,4.0,0,2020-09-30
APP000072,32,High School,Full-Time,Divorced,3,17065.35,205448.23,12,17.62,Business,522,1.5,0,0.0,1,53.18,2,0,Mortgage,2.6,0,2021-01-24
APP000073,52,Bachelor,Self-Employed,Single,0,12885.59,42123.16,36,21.71,Personal,706,8.0,0,0.0,4,59.34,0,0,Other,4.6,0,2022-12-23
APP000074,29,Master,Self-Employed,Married,2,50000.0,500000.0,48,21.32,Debt Consolidation,764,3.8,4,171487.35,2,70.5,1,0,Mortgage,8.4,0,2023-01-06
APP000075,46,High School,Full-Time,Married,1,37332.97,148566.1,48,5.34,Business,675,6.7,4,125179.4,4,79.56,1,0,Rent,10.3,0,2020-02-14
APP000076,34,Bachelor,Part-Time,Widowed,2,24984.03,243203.42,36,21.68,Business,733,8.5,0,0.0,0,80.24,2,0,Own,8.6,0,2023-11-19
APP000077,54,High School,Full-Time,Married,0,13252.25,138855.67,24,8.49,Personal,738,5.8,1,18748.93,0,72.57,0,0,Own,3.1,0,2023-07-26
APP000078,27,High School,Self-Employed,Married,4,40069.04,421655.2,48,19.29,Home,688,6.5,3,70465.47,6,83.07,6,0,Rent,16.4,0,2023-08-17
APP000079,52,High School,Self-Employed,Married,0,50000.0,500000.0,60,7.9,Home,636,9.4,4,56957.56,1,67.95,2,0,Own,7.5,0,2022-05-24
APP000080,43,Bachelor,Full-Time,Married,3,50000.0,270312.59,48,19.97,Home,775,15.0,0,0.0,1,99.33,1,0,Own,1.4,0,2021-09-05
APP000081,31,PhD,Part-Time,Widowed,0,17575.63,103163.5,60,8.08,Home,709,7.1,1,24992.0,5,86.37,2,0,Rent,2.2,0,2023-01-25
APP000082,44,Vocational,Part-Time,Single,5,50000.0,500000.0,48,16.89,Education,705,4.2,1,154084.08,3,92.68,0,0,Mortgage,2.7,0,2020-09-03
APP000083,46,High School,Part-Time,Married,5,50000.0,155281.14,36,21.59,Debt Consolidation,642,4.7,1,223282.91,2,75.77,2,0,Own,3.2,1,2023-12-01
APP000084,26,Vocational,Self-Employed,Divorced,1,17350.57,83504.71,48,12.19,Personal,727,5.8,3,67723.39,3,92.52,1,0,Mortgage,11.2,0,2022-02-23
APP000085,38,Bachelor,Full-Time,Married,0,50000.0,256910.83,12,22.76,Personal,706,5.6,2,107062.38,1,74.56,2,0,Mortgage,5.2,0,2020-05-08
APP000086,24,Bachelor,Full-Time,Married,0,50000.0,407451.35,36,13.46,Debt Consolidation,613,8.4,1,216261.49,2,91.82,1,0,Mortgage,0.8,0,2021-08-20
APP000087,42,High School,Full-Time,Married,0,50000.0,250827.22,24,22.92,Debt Consolidation,652,10.4,2,158632.7,0,81.52,0,0,Rent,6.4,0,2022-06-16
APP000088,61,Master,Unemployed,Divorced,2,27518.91,401374.32,12,18.29,Education,850,10.7,1,75379.68,0,79.52,0,0,Mortgage,4.9,0,2022-02-20
APP000089,27,High School,Full-Time,Single,0,38366.95,142013.25,36,14.82,Medical,707,2.0,0,0.0,5,74.91,3,0,Own,2.4,0,2021-04-28
APP000090,42,Bachelor,Unemployed,Married,0,17861.02,125609.57,36,11.01,Personal,746,5.2,3,57120.85,4,81.64,2,0,Mortgage,2.8,0,2020-01-16
APP000091,30,Vocational,Self-Employed,Single,1,42329.88,216911.75,24,15.64,Personal,722,6.4,3,26433.62,1,54.37,2,0,Own,3.1,0,2020-10-17
APP000092,27,Bachelor,Full-Time,Married,3,26467.38,133824.93,60,9.81,Home,689,6.5,0,0.0,2,82.62,1,0,Rent,3.7,0,2022-10-25
APP000093,38,Bachelor,Part-Time,Married,3,21719.68,296383.41,60,7.56,Personal,725,5.4,0,0.0,3,78.38,3,0,Rent,3.9,0,2022-07-20
APP000094,28,High School,Retired,Single,3,7757.51,24816.15,60,23.65,Home,726,6.5,0,0.0,2,79.3,1,0,Rent,11.6,0,2022-09-22
APP000095,45,Bachelor,Unemployed,Married,3,11452.93,97360.74,60,15.02,Auto,600,5.7,0,0.0,5,85.6,4,0,Mortgage,1.1,0,2021-05-17
APP000096,49,Bachelor,Full-Time,Married,2,50000.0,500000.0,60,6.69,Auto,555,11.7,3,55997.91,1,83.28,2,0,Mortgage,6.0,0,2021-10-05
APP000097,49,High School,Full-Time,Single,5,50000.0,220183.46,48,11.73,Debt Consolidation,673,15.3,4,198461.56,0,80.91,2,0,Mortgage,2.1,0,2020-07-16
APP000098,47,Master,Full-Time,Married,2,19807.26,258563.91,48,24.45,Auto,816,16.8,2,51831.96,4,85.7,2,0,Own,9.3,0,2022-09-13
APP000099,44,High School,Full-Time,Widowed,2,19777.13,98213.98,60,11.58,Home,711,4.7,0,0.0,1,85.22,1,0,Rent,7.2,0,2021-09-14
APP000100,27,High School,Self-Employed,Single,3,30849.13,215129.49,48,19.52,Home,694,5.1,1,70320.56,2,80.5,1,0,Mortgage,4.2,0,2021-09-20
APP000101,28,High School,Self-Employed,Single,1,15338.28,51888.71,36,9.62,Home,716,3.4,3,10054.33,2,76.89,3,1,Own,3.1,0,2023-04-15
APP000102,24,Bachelor,Full-Time,Married,2,50000.0,500000.0,24,10.62,Business,702,7.4,0,0.0,3,89.11,4,0,Own,6.6,0,2022-10-23
APP000103,48,High School,Part-Time,Single,4,22550.46,238009.61,60,17.75,Personal,602,5.0,0,0.0,1,81.4,0,0,Rent,8.9,0,2022-03-04
APP000104,35,High School,Full-Time,Married,0,29500.9,371459.57,12,18.39,Personal,615,11.1,3,54618.43,2,75.71,0,0,Rent,9.8,0,2023-10-25
APP000105,58,Bachelor,Full-Time,Married,3,40013.66,334489.95,36,21.78,Medical,726,1.1,2,96843.61,3,90.01,0,0,Mortgage,3.6,0,2022-11-30
APP000106,32,PhD,Unemployed,Married,4,19026.72,91432.34,48,10.73,Medical,734,3.9,0,0.0,3,94.33,2,0,Own,10.3,0,2022-01-07
APP000107,36,Master,Full-Time,Married,1,34596.07,459895.7,36,24.27,Education,491,4.8,0,0.0,2,82.59,2,0,Own,2.8,0,2020-03-16
APP000108,48,Vocational,Full-Time,Married,4,50000.0,184181.14,24,23.74,Business,753,8.9,2,179779.73,0,76.4,1,0,Rent,6.2,0,2023-08-22
APP000109,39,Bachelor,Unemployed,Married,3,6455.77,50596.11,60,23.67,Personal,674,1.7,0,0.0,4,78.63,1,0,Rent,2.2,0,2020-07-23
APP000110,24,High School,Part-Time,Single,4,27194.88,153943.57,60,24.76,Personal,466,3.2,4,24871.87,2,67.91,0,0,Own,9.2,0,2021-07-08
APP000111,51,Bachelor,Full-Time,Widowed,0,39071.79,343485.28,36,6.06,Personal,497,4.1,1,124728.56,1,93.99,2,0,Own,3.7,0,2020-06-01
APP000112,39,Bachelor,Full-Time,Married,1,31556.4,200015.87,48,19.58,Home,774,9.6,2,32333.85,1,64.17,3,0,Rent,4.4,0,2022-10-27
APP000113,60,Bachelor,Part-Time,Married,1,12060.05,108212.27,12,15.98,Business,727,9.0,2,58746.83,1,73.26,2,1,Own,7.1,0,2023-10-12
APP000114,40,High School,Full-Time,Single,3,50000.0,255373.54,60,17.35,Personal,653,6.2,0,0.0,1,98.17,0,0,Own,7.3,0,2021-05-20
APP000115,32,Bachelor,Full-Time,Single,0,28871.78,191298.42,24,5.71,Auto,730,6.4,0,0.0,4,63.21,2,0,Rent,3.8,0,2022-08-01
APP000116,61,Master,Full-Time,Married,0,50000.0,235643.15,12,21.7,Debt Consolidation,793,6.5,3,247826.77,2,60.96,2,0,Rent,2.2,0,2020-09-09
APP000117,39,Bachelor,Unemployed,Divorced,4,15971.52,201478.12,24,16.39,Home,756,10.6,0,0.0,2,72.74,0,0,Rent,6.0,0,2020-10-12
APP000118,27,Master,Full-Time,Married,0,50000.0,401367.04,48,13.74,Personal,609,8.0,0,0.0,1,93.45,1,0,Mortgage,20.6,0,2023-06-23
APP000119,51,Vocational,Retired,Married,0,27365.97,202893.43,12,16.51,Personal,546,9.7,3,131604.31,1,82.89,1,0,Mortgage,4.9,1,2021-08-19
APP000120,56,Bachelor,Full-Time,Single,2,50000.0,284875.56,36,7.18,Business,641,6.5,0,0.0,0,80.35,5,0,Mortgage,4.3,0,2021-08-08
APP000121,54,Bachelor,Self-Employed,Single,5,24211.85,294138.09,24,16.72,Home,670,2.7,3,119669.51,1,78.68,2,0,Mortgage,2.1,1,2023-09-24
APP000122,31,High School,Full-Time,Married,3,50000.0,280017.32,60,5.87,Personal,687,3.9,0,0.0,1,91.38,1,0,Own,4.9,0,2021-05-10
APP000123,59,Master,Part-Time,Divorced,3,34147.93,431729.16,36,15.8,Personal,790,8.8,4,149339.83,3,83.49,1,0,Rent,6.0,0,2023-01-06
APP000124,52,Bachelor,Full-Time,Married,0,31247.33,171753.46,48,5.09,Personal,677,4.0,0,0.0,2,85.45,0,0,Rent,3.1,0,2020-04-20
APP000125,22,PhD,Self-Employed,Married,0,28984.64,430292.24,24,9.09,Auto,682,6.5,3,76208.16,5,97.72,2,1,Own,7.7,1,2022-07-04
APP000126,41,Bachelor,Full-Time,Single,0,40634.92,251024.01,48,6.71,Personal,628,9.9,1,54932.57,2,65.95,1,0,Rent,11.2,1,2023-05-13
APP000127,22,Bachelor,Full-Time,Divorced,0,33118.5,144808.44,36,20.51,Home,652,4.6,2,70194.82,1,65.25,0,0,Mortgage,5.3,0,2023-01-19
APP000128,24,High School,Full-Time,Married,0,17693.1,76238.55,48,9.26,Personal,629,4.2,0,0.0,0,85.8,1,0,Own,13.5,0,2020-02-04
APP000129,46,Bachelor,Full-Time,Married,2,50000.0,500000.0,36,17.29,Business,850,3.0,0,0.0,1,85.89,1,0,Rent,4.8,0,2023-12-22
APP000130,57,Master,Full-Time,Married,1,50000.0,432804.05,36,11.75,Debt Consolidation,681,8.3,3,234781.01,0,74.18,1,0,Mortgage,10.1,0,2023-08-12
APP000131,32,Bachelor,Full-Time,Married,2,16614.04,227961.23,24,9.62,Personal,744,2.6,0,0.0,1,86.28,2,0,Rent,2.0,0,2021-07-07
APP000132,26,High School,Full-Time,Married,2,50000.0,473403.72,36,15.82,Auto,605,5.6,1,53456.5,0,72.56,1,0,Rent,0.7,0,2022-11-12
APP000133,32,Bachelor,Self-Employed,Married,1,50000.0,273278.62,48,17.56,Medical,570,3.5,2,241753.59,0,75.13,1,0,Mortgage,11.4,0,2023-06-29
APP000134,27,Bachelor,Part-Time,Divorced,2,28000.75,333840.45,36,5.8,Home,660,6.9,0,0.0,0,77.16,2,0,Rent,4.1,0,2021-09-15
APP000135,32,Master,Full-Time,Single,2,22408.37,236806.38,48,21.61,Debt Consolidation,692,9.6,0,0.0,0,75.96,2,0,Mortgage,4.4,0,2020-04-29
APP000136,74,High School,Full-Time,Married,0,11119.24,36492.77,48,18.87,Education,677,2.8,1,20457.85,2,85.72,1,0,Own,2.3,0,2023-11-13
APP000137,42,Vocational,Full-Time,Single,1,17215.43,220257.84,48,18.55,Personal,677,3.0,1,45640.1,2,55.15,2,0,Own,3.7,0,2021-04-05
APP000138,34,Bachelor,Full-Time,Single,0,50000.0,482644.95,60,16.62,Education,685,4.6,3,64846.56,2,90.46,3,0,Mortgage,3.6,0,2020-11-26
APP000139,41,Master,Full-Time,Single,4,50000.0,205734.14,60,18.94,Auto,813,6.0,5,179804.87,2,50.85,2,0,Mortgage,8.0,0,2020-11-06
APP000140,40,Bachelor,Full-Time,Married,0,50000.0,155539.64,36,21.15,Debt Consolidation,767,4.0,3,140173.07,3,77.37,3,0,Own,6.7,0,2022-07-06
APP000141,51,Bachelor,Full-Time,Single,3,46455.73,500000.0,24,15.52,Auto,731,4.8,2,66796.95,1,83.73,2,0,Mortgage,5.4,0,2020-01-21
APP000142,32,Master,Self-Employed,Married,2,50000.0,262199.32,12,16.79,Business,728,6.3,0,0.0,3,72.57,2,0,Rent,6.4,0,2022-07-31
APP000143,25,High School,Self-Employed,Married,2,50000.0,400265.06,36,20.66,Auto,648,2.9,1,167905.25,3,95.67,1,0,Mortgage,3.0,0,2022-10-26
APP000144,38,High School,Full-Time,Married,0,33385.42,331338.06,24,14.07,Medical,534,8.6,0,0.0,5,90.51,4,0,Own,11.3,0,2021-12-10
APP000145,41,High School,Full-Time,Single,3,36740.8,356026.73,24,20.51,Business,645,3.4,1,179168.18,0,97.4,1,0,Own,4.2,0,2020-11-03
APP000146,39,Bachelor,Full-Time,Widowed,2,19632.02,91641.91,24,19.68,Personal,694,5.4,1,86212.94,0,71.65,3,0,Mortgage,0.4,0,2020-08-16
APP000147,24,High School,Full-Time,Married,4,44227.63,469190.84,36,8.51,Personal,703,2.7,0,0.0,2,60.38,0,0,Own,3.8,0,2023-09-16
APP000148,51,High School,Full-Time,Single,3,50000.0,488017.1,12,19.46,Medical,586,10.3,2,159511.07,4,71.17,1,0,Mortgage,7.0,0,2021-12-06
APP000149,40,Bachelor,Full-Time,Widowed,1,49519.57,361091.08,48,20.55,Personal,616,4.0,2,29013.29,4,95.82,3,0,Own,9.8,0,2023-11-06
APP000150,31,PhD,Part-Time,Divorced,3,20522.2,243568.53,60,13.47,Medical,805,1.7,0,0.0,7,81.98,0,0,Rent,10.6,0,2023-07-02
APP000151,32,Bachelor,Self-Employed,Married,0,50000.0,500000.0,48,22.95,Auto,736,7.7,0,0.0,0,90.14,0,0,Rent,4.3,0,2023-10-06
APP000152,20,Master,Part-Time,Divorced,2,9579.78,49015.43,24,9.82,Medical,527,3.1,5,11861.1,1,91.17,0,0,Mortgage,2.9,0,2020-05-09
APP000153,54,High School,Part-Time,Widowed,3,50000.0,328459.44,36,22.74,Debt Consolidation,688,2.7,2,65749.91,0,83.1,2,0,Mortgage,6.5,0,2023-06-28
APP000154,32,High School,Self-Employed,Married,5,50000.0,500000.0,48,7.51,Medical,664,8.4,3,240262.39,0,86.94,0,0,Mortgage,2.7,0,2022-01-04
APP000155,38,Master,Full-Time,Single,2,31053.41,346274.68,36,20.17,Education,595,8.9,2,148829.52,1,92.74,0,0,Rent,2.3,1,2023-05-12
APP000156,40,Bachelor,Full-Time,Divorced,0,50000.0,500000.0,24,11.71,Auto,596,16.6,0,0.0,1,77.08,0,0,Own,1.7,0,2023-10-18
APP000157,40,High School,Full-Time,Single,0,50000.0,500000.0,24,15.32,Home,802,2.9,3,84427.36,2,84.93,2,0,Mortgage,2.0,0,2023-09-04
APP000158,52,High School,Full-Time,Single,3,34993.03,318691.62,60,24.17,Personal,665,3.2,1,56558.49,3,74.25,0,0,Own,4.2,0,2020-05-02
APP000159,41,Bachelor,Part-Time,Divorced,1,50000.0,500000.0,36,15.63,Home,643,3.7,0,0.0,0,62.91,1,0,Rent,8.6,0,2021-12-25
APP000160,44,High School,Self-Employed,Married,2,50000.0,500000.0,48,22.92,Debt Consolidation,654,3.9,2,84033.71,2,69.17,3,0,Rent,0.7,0,2023-06-08
APP000161,25,Master,Full-Time,Single,1,50000.0,375908.12,24,22.77,Personal,535,8.0,1,169006.94,2,98.27,1,0,Mortgage,17.5,0,2021-02-11
APP000162,33,Bachelor,Full-Time,Divorced,0,36449.57,268666.47,48,12.24,Personal,670,3.6,2,59277.39,2,46.93,1,0,Own,1.1,0,2020-08-12
APP000163,50,High School,Full-Time,Single,5,50000.0,331111.89,36,6.12,Business,627,6.1,1,78606.76,3,90.41,2,0,Mortgage,3.7,0,2021-02-12
APP000164,27,Bachelor,Full-Time,Single,5,26127.4,119409.09,36,15.8,Medical,646,3.2,1,119934.14,3,87.89,0,0,Mortgage,0.6,0,2022-09-09
